sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway,is_advanced_investment,c_isin,fidelity_risk_rating_url,isin,msid,fund_code_value,fidelity_collectedSRRI,fidelity_alphas_oneYear,fidelity_alphas_threeYear,fidelity_alphas_fiveYear,fidelity_betas_oneYear,fidelity_betas_threeYear,fidelity_betas_fiveYear,fidelity_informationRatios_oneYear,fidelity_informationRatios_threeYear,fidelity_informationRatios_fiveYear,fidelity_rSquareds_oneYear,fidelity_rSquareds_threeYear,fidelity_rSquareds_fiveYear,fidelity_sharpeRatios_oneYear,fidelity_sharpeRatios_threeYear,fidelity_sharpeRatios_fiveYear,fidelity_standardDeviations_oneYear,fidelity_standardDeviations_threeYear,fidelity_standardDeviations_fiveYear,fidelity_trackingErrors_oneYear,fidelity_trackingErrors_threeYear,fidelity_trackingErrors_fiveYear,yahoo_timestamp,yahoo_symbol,ft_symbol,ft_xid,ft_alpha_1y,ft_beta_1y,ft_information_ratio_1y,ft_r_squared_1y,ft_sharpe_ratio_1y,ft_standard_deviation_1y,ft_alpha_3y,ft_beta_3y,ft_information_ratio_3y,ft_r_squared_3y,ft_sharpe_ratio_3y,ft_standard_deviation_3y,ft_alpha_5y,ft_beta_5y,ft_information_ratio_5y,ft_r_squared_5y,ft_sharpe_ratio_5y,ft_standard_deviation_5y
B2PB2B6,BFB8,7IM AAP Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Income,7IM AAP Adventurous (Class C) (Inc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=90f9bf95-819b-49df-b2f5-b89a49cb36ca&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,349.9,,0.14,1,2025-09-11 06:01:02,0000-00-00,5.96,7.44,10.83,19.7,40.53,,10.83,8.96,-0.88,-2.7,20.66,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,207.13,207.13,0.64,0.31,2025-09-11,N,N,GB00B2PB2B68,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2B68GBP-7im-aap-adventurous-c-inc/risk-and-rating,GB00B2PB2B68GBP,F000001EZT,SMAVI,5.0,-2.97549,-3.58131,-2.59699,0.98017,0.82664,0.89014,-1.3103,-1.30632,-0.98491,93.065,82.99,85.313,0.38613,0.19414,0.46498,9.8453,8.35691,9.338,2.60119,3.78938,3.749,1757740214.0,0P0000CRAQ.L,,,,,,,,,,,,,,,,,,,,
B2PB2C7,BFB9,7IM AAP Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Accumulation,7IM AAP Adventurous (Class C) (Acc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3b376978-902b-4ea9-bf05-c27904a97598&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,349.9,,0.14,1,2025-09-11 06:01:02,0000-00-00,5.98,7.44,10.83,19.7,40.53,,10.83,8.99,-0.9,-2.7,20.66,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,259.97,259.97,0.81,0.31,2025-09-11,N,N,GB00B2PB2C75,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2C75GBP-7im-aap-adventurous-c-acc/risk-and-rating,GB00B2PB2C75GBP,F000001EZR,SMAVA,5.0,-2.98738,-3.58136,-2.59133,0.98142,0.82698,0.88939,-1.30588,-1.30432,-0.98209,93.015,82.949,85.229,0.38522,0.19427,0.46513,9.8604,8.36226,9.33459,2.61377,3.79386,3.75965,1757740216.0,0P0000CRAO.L,,,,,,,,,,,,,,,,,,,,
B2PB2V6,BFB4,7IM AAP Balanced (Class C),25.0,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Income,7IM AAP Balanced (Class C) (Inc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,33,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=274eefa6-5b95-40b9-ac19-c7ed9ac8aea6&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,706.1,,0.14,2,2025-09-11 06:01:02,0000-00-00,4.37,5.3,7.09,15.7,22.53,,7.09,9.44,-1.27,-5.68,12.28,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,158.32999999999998,158.32999999999998,0.36,0.23,2025-09-11,N,N,GB00B2PB2V64,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2V64GBP-7im-aap-balanced-c-inc/risk-and-rating,GB00B2PB2V64GBP,F000001EZZ,SOBCI,4.0,-2.14103,-1.91626,-1.02757,1.14602,0.88603,0.9231,-0.94608,-0.79685,-0.43115,92.701,82.0,82.504,0.14617,0.05415,0.20261,6.79143,6.6377,7.0392,2.01886,2.90729,2.99169,1757740217.0,0P0000CRAW.L,,,,,,,,,,,,,,,,,,,,
B2PB379,BFB5,7IM AAP Balanced (Class C),25.0,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,7IM AAP Balanced (Class C) (Acc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,33,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=493d38fa-0330-4104-81bc-31543303dce7&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,706.1,,0.14,2,2025-09-11 06:01:02,0000-00-00,4.38,5.3,7.09,15.7,22.54,,7.09,9.45,-1.28,-5.67,12.28,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,210.76,210.76,0.47,0.22,2025-09-11,N,N,GB00B2PB3794,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB3794GBP-7im-aap-balanced-c-acc/risk-and-rating,GB00B2PB3794GBP,F000001EZX,SOBCA,4.0,-2.13469,-1.9106,-1.01287,1.14552,0.88769,0.92349,-0.94252,-0.79394,-0.42552,92.67,82.039,82.495,0.14696,0.05555,0.20476,6.79014,6.64878,7.04264,2.0208,2.90581,2.99331,1757740220.0,0P0000CRAU.L,,,,,,,,,,,,,,,,,,,,
BMXV7D5,AHOMC,7IM AAP Cautious (Class C),25.0,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Cautious (Class C) (Inc),0.0,0.73,0.0,0.73,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,29,0,0,,0.0,0.73,0.73,N/a,Daily,,100.0,1.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=1b5e9a13-6c96-4366-b92f-9fad8d444d0a&user=hl_website_documents,0.0,1.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,62.2,,0.23,2,2025-09-11 06:00:59,0000-00-00,2.75,3.16,2.94,7.47,1.39,,2.94,7.16,-2.57,-9.48,4.22,,,,,,,,,,,,0.73,0,1,1,1,1,2024-03-22 00:00:00,N,123.28,123.28,0.17,0.14,2025-09-11,N,N,GB00BMXV7D57,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00BMXV7D57GBP-7im-aap-cautious-class-c-income/risk-and-rating,GB00BMXV7D57GBP,F00001I7OI,SMLCI,3.0,-2.84353,,,0.9853,,,-2.09234,,,89.033,,,-0.51491,,,4.23796,,,1.41469,,,,,,,,,,,,,,,,,,,,,,,,
BMXV854,AHOMB,7IM AAP Cautious (Class C),25.0,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Cautious (Class C) (Acc),0.0,0.73,0.0,0.73,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,29,0,0,,0.0,0.73,0.73,N/a,Daily,,100.0,1.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3418d186-dcc3-4b31-90fa-f7b143758228&user=hl_website_documents,0.0,1.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,62.2,,0.23,2,2025-09-11 06:00:59,0000-00-00,2.73,3.16,2.94,8.52,2.37,,2.94,8.2,-2.57,-9.48,4.22,,,,,,,,,,,,0.73,0,1,1,1,1,2024-03-22 00:00:00,N,158.95999999999998,158.95999999999998,0.22,0.14,2025-09-11,N,N,GB00BMXV8544,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00BMXV8544GBP-7im-aap-cautious-class-c-accumulation/risk-and-rating,GB00BMXV8544GBP,F00001I7OH,SMLCA,3.0,-2.84602,,,0.98454,,,-2.10492,,,89.118,,,-0.51628,,,4.23234,,,1.40759,,,,,,,,,,,,,,,,,,,,,,,,
B2PB2K5,BFA6,7IM AAP Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Income,7IM AAP Moderately Adventurous (Class C) (Inc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,28,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=e5512a97-0071-438b-ba61-5fa139a32ca0&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,535.1,,0.14,2,2025-09-11 06:01:02,0000-00-00,5.21,6.61,9.42,19.24,33.88,,9.42,9.15,-0.16,-4.1,17.07,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,194.83,194.83,0.5,0.26,2025-09-11,N,N,GB00B2PB2K59,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2K59GBP-7im-aap-moderately-adventurous-c-inc/risk-and-rating,GB00B2PB2K59GBP,F000001F03,SOMCI,4.0,-2.4552,-2.31703,-1.56515,1.08397,0.84659,0.92522,-1.01446,-0.95638,-0.61002,93.465,82.378,83.676,0.32917,0.19545,0.39833,8.42152,7.3387,8.31376,2.24552,3.29917,3.42408,1757740224.0,0P0000CRB0.L,,,,,,,,,,,,,,,,,,,,
B2PB2M7,BFA7,7IM AAP Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Accumulation,7IM AAP Moderately Adventurous (Class C) (Acc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,28,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=cc0f56b0-3208-4cff-aa09-9ca230bdefbd&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,535.1,,0.14,2,2025-09-11 06:01:02,0000-00-00,5.23,6.61,9.42,19.25,33.82,,9.42,9.15,-0.16,-4.09,17.01,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,246.04,246.04,0.63,0.26,2025-09-11,N,N,GB00B2PB2M73,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2M73GBP-7im-aap-moderately-adventurous-c-acc/risk-and-rating,GB00B2PB2M73GBP,F000001F02,SOMCA,4.0,-2.44986,-2.31323,-1.55729,1.083,0.84696,0.92339,-1.01727,-0.95534,-0.6114,93.487,82.402,83.702,0.32959,0.19615,0.39897,8.4128,7.34068,8.29592,2.23795,3.29696,3.4171,1757740225.0,0P0000CRAZ.L,,,,,,,,,,,,,,,,,,,,
B2PB205,BFB0,7IM AAP Moderately Cautious (Class C),25.0,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Moderately Cautious (Class C) (Inc),0.0,0.68,0.0,0.68,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,34,0,0,N,0.0,0.68,0.68,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=57705044-d373-413e-a120-a4ebda285d21&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,222.1,,0.18,2,2025-09-11 06:01:02,0000-00-00,3.37,4.09,5.0,11.79,9.45,,5.0,8.69,-2.04,-8.68,7.21,,,,,,,,,,,,0.68,0,1,1,1,1,2008-03-28 00:00:00,,124.12,124.12,0.22,0.18,2025-09-11,N,N,GB00B2PB2051,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2051GBP-7im-aap-moderately-cautious-c-inc/risk-and-rating,GB00B2PB2051GBP,F000001EZY,SMACI,4.0,-1.33207,-1.57326,-0.82541,1.15821,0.96758,0.93452,-0.66697,-0.67576,-0.33927,86.409,84.19,82.991,-0.1126,-0.15987,-0.13904,5.07186,6.24212,6.02878,1.98573,2.47511,2.50102,1757740227.0,0P0000CRAV.L,,,,,,,,,,,,,,,,,,,,
B2PB216,BFB1,7IM AAP Moderately Cautious (Class C),25.0,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Moderately Cautious (Class C) (Acc),0.0,0.68,0.0,0.68,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,34,0,0,N,0.0,0.68,0.68,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=ccb3a9fe-80ff-4fd7-a229-4fdbe5a357c8&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,222.1,,0.18,2,2025-09-11 06:01:02,0000-00-00,3.37,4.1,4.99,11.8,9.47,,4.99,8.7,-2.04,-8.68,7.21,,,,,,,,,,,,0.68,0,1,1,1,1,2008-03-28 00:00:00,,171.55,171.55,0.31,0.18,2025-09-11,N,N,GB00B2PB2168,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2168GBP-7im-aap-moderately-cautious-c-acc/risk-and-rating,GB00B2PB2168GBP,F000001EZW,SMACA,4.0,-1.33691,-1.56696,-0.81888,1.169,0.9703,0.93422,-0.66035,-0.67086,-0.33559,86.562,84.17,82.894,-0.11117,-0.15812,-0.1379,5.11512,6.26038,6.03065,2.00528,2.48269,2.50894,1757740230.0,0P0000CRAT.L,,,,,,,,,,,,,,,,,,,,
